text,category,department
営業部の経費精算は月5万円以内とする。5万円を超える場合は事前に上長の承認が必要です。交通費は実費精算とし、領収書の添付が必須となります。,sales,営業部
営業部の目標管理は四半期ごとに設定します。達成率80%以上でボーナス査定の対象となります。顧客訪問は月20件以上を目安とし、訪問報告書をCRMに入力してください。,sales,営業部
新規顧客開拓は担当者が責任をもって行います。見積書の発行には上長の承認が必要で、100万円以上の案件は部長承認が必要です。契約書は法務部レビュー後に締結してください。,sales,営業部
有給休暇は入社6ヶ月後から年間10日付与されます。2年目以降は勤続年数に応じて最大20日まで付与されます。申請はシステムから2週間前までに提出してください。,hr,人事部
育児休暇は子が1歳になるまで取得できます。申請は出産予定日の1ヶ月前までに人事部へ提出してください。育児休暇中は給与の67%が雇用保険から支給されます。,hr,人事部
人事評価は年2回（6月・12月）実施します。自己評価と上長評価の結果をもとに面談を行い、昇給・昇格を決定します。評価基準は業績・行動・能力の3軸で評価します。,hr,人事部
月次決算は翌月5営業日以内に完了させてください。請求書の支払いは末締め翌月末払いが基本です。小口現金の上限は3万円とし、月末に精算レポートを提出してください。,accounting,経理部
経費申請は発生月内に提出してください。領収書の原本が必要で、電子領収書はPDFで保存してください。交際費は1人あたり1万円以内を目安とし、参加者名を必ず記載してください。,accounting,経理部
固定資産の購入は30万円以上の場合、取締役会の承認が必要です。資産台帳への登録は購入後5営業日以内に経理部が行います。減価償却は定額法を採用しています。,accounting,経理部
社内システムのパスワードは90日ごとに変更が必要です。パスワードは12文字以上で英数字・記号を組み合わせてください。不審なメールは開封せずIT部門に報告してください。,it,IT部門
テレワーク時はVPN接続が必須です。社外からの社内システムへのアクセスはVPN経由のみ許可されています。VPN接続の設定方法はIT部門のポータルサイトを参照してください。,it,IT部門
PCの持ち出しは申請書の提出が必要です。紛失・盗難時は直ちにIT部門へ連絡し、リモートワイプを依頼してください。個人PCでの業務データの取り扱いは禁止されています。,it,IT部門
社内備品の使用は備品管理台帳に記録してください。消耗品の補充は総務部に申請します。共用スペースの予約はグループウェアから行い、使用後は必ず原状回復してください。,general,総務部
社員証は常時携帯してください。来客対応時は受付で来客カードを記入してもらい、担当者が迎えに行く手順です。会議室の予約はシステムから行い、利用後は椅子・机を元に戻してください。,general,総務部
健康診断は年1回、会社が費用を負担して実施します。受診は業務時間内に行って構いません。健診結果は個人情報として厳重に管理され、本人の同意なく開示されません。,general,総務部
